,age,income,net_worth,risk_tolerance,time_horizon,has_dependents,is_retired,tax_bracket,pref_equity,pref_bonds,pref_alts,pref_cash,segment,pca_1,pca_2,segment_name
0,60,41984,927366,2,13,1,0,0.24,68.0,23.8,5.9,2.3,1,0.15657669579993336,-0.7144209481339974,Mid-Career Balanced Families
1,73,18621,35444,2,1,1,0,0.24,43.2,45.4,8.2,3.2,1,0.5507980932927707,-0.52907543975634,Mid-Career Balanced Families
2,50,23627,56858,4,36,0,0,0.37,93.1,-11.7,18.6,0.0,2,0.39994446057850047,-0.508544781279479,Pre-Retiree Conservatives
3,36,63210,368210,4,18,1,0,0.32,91.3,-11.3,20.0,0.0,1,0.9388098011444391,-1.2554636409153943,Mid-Career Balanced Families
4,64,172735,225142,2,33,0,0,0.24,77.0,13.0,10.0,0.0,2,-1.055191615230097,1.8662011166008114,Pre-Retiree Conservatives
5,29,38973,476386,2,38,0,0,0.12,95.0,-7.9,12.9,0.0,2,-1.368892826141174,0.26952559145124877,Pre-Retiree Conservatives
6,42,38180,35104,1,6,1,1,0.32,44.4,44.8,3.2,7.6,3,0.6895640885810425,-0.04733397077514361,High-Net-Worth Diversifiers
7,60,197020,115362,3,17,0,0,0.12,76.4,3.6,20.0,0.0,4,-1.21697257143798,2.0551118486543616,Retired Income Seekers
8,40,27562,77614,4,4,0,0,0.22,87.7,-0.8,13.1,0.0,4,-0.5704403484100172,-0.9378647496789583,Retired Income Seekers
9,44,18715,42949,3,14,0,0,0.24,80.3,4.0,15.7,0.0,4,-0.6828594209521909,-0.6310989396509448,Retired Income Seekers
10,32,33524,332726,4,30,0,1,0.24,95.0,-7.3,12.3,0.0,3,0.5724439013706125,0.6235909670385678,High-Net-Worth Diversifiers
11,32,37648,504670,4,20,1,0,0.37,94.4,-4.4,10.0,0.0,1,1.034087947061028,-1.830732139363633,Mid-Career Balanced Families
12,45,17619,108636,5,8,0,1,0.24,95.0,-6.0,11.0,0.0,3,0.9698358620229748,0.20771420848904973,High-Net-Worth Diversifiers
13,74,54741,1011812,1,2,1,0,0.12,43.3,51.2,5.5,0.0,1,-0.49407839783374075,0.04331566047263523,Mid-Career Balanced Families
14,57,116298,63396,2,37,1,1,0.32,53.5,37.8,8.7,0.0,3,1.5900908818196686,1.8186271094487658,High-Net-Worth Diversifiers
15,61,24338,982799,1,4,0,1,0.22,31.8,55.4,12.8,0.0,3,-0.867921898942469,0.6109621278332555,High-Net-Worth Diversifiers
16,45,63659,319555,4,10,0,0,0.32,85.4,-5.4,20.0,0.0,4,-0.4258369877001252,-0.8614678708875141,Retired Income Seekers
17,24,78996,37485,4,20,0,0,0.12,95.0,-14.3,19.3,0.0,2,-0.9000114467549967,0.05507085597027915,Pre-Retiree Conservatives
18,43,56479,1754736,3,35,1,0,0.22,95.0,-15.0,20.0,0.0,0,0.3019812940343652,-0.7824117324558975,Young Aggressive Accumulators
19,74,68185,95475,1,10,1,1,0.37,37.2,48.6,14.2,0.0,3,1.2393019464511428,0.8985692432719637,High-Net-Worth Diversifiers
20,23,68742,691170,2,28,1,1,0.24,69.6,11.7,18.7,0.0,3,0.7025862557608916,0.33456846184396344,High-Net-Worth Diversifiers
21,45,33897,193838,2,15,0,0,0.24,85.2,-3.4,18.2,0.0,4,-1.1735154450886198,-0.4128156711744066,Retired Income Seekers
22,65,170929,255079,3,36,0,0,0.37,81.6,3.2,15.2,0.0,2,-0.35201958924370175,1.272035423817618,Pre-Retiree Conservatives
23,51,143405,479955,2,1,0,0,0.12,77.0,10.3,12.7,0.0,4,-1.987363340355202,0.8025180481145804,Retired Income Seekers
24,59,137714,449109,1,22,0,0,0.37,67.8,27.7,2.4,2.1,2,-1.4735432902873749,0.5132608997934688,Pre-Retiree Conservatives
25,23,121731,107950,4,27,0,0,0.12,95.0,-10.4,15.4,0.0,2,-0.9716691399395279,0.5970691644507923,Pre-Retiree Conservatives
